State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Andhra Pradesh,873.8,1221.6,1159.6,1099.4,1107.5,790.5,1712.5,861.8,1318.3,1120.4,875.1,1011.0,909.0,892.7,663.8,899.2,738.2,1148.9
Arunachal Pradesh,2545.8,2335.5,2259.4,3020.6,2244.5,1750.0,2855.6,2193.6,3440.5,2042.9,2403.1,2767.5,2706.8,2745.5,2032.5,2433.3,1943.7,2083.8
Assam,2994.2,2468.2,1898.7,2752.7,2339.6,2068.2,2711.4,1743.5,2609.4,1816.5,2206.2,2471.0,2266.7,2711.6,1807.1,2084.7,1651.1,2083.8
Bihar,1147.6,907.8,1052.8,1600.1,1197.6,889.5,629.2,1097.3,1032.4,1069.8,1061.0,872.7,1158.0,1112.0,860.6,1194.7,1272.5,1512.7
Chhattisgarh,1144.7,1287.3,1317.8,1281.2,1108.6,956.7,1306.6,1302.6,1377.4,1420.0,1278.6,1117.7,1315.9,1124.5,1211.9,1420.3,1234.3,1309.6
NCT of Delhi,487.2,519.4,331.0,446.6,710.3,395.3,640.4,512.1,391.3,461.3,305.5,435.5,398.7,421.7,687.3,546.9,467.7,904.4
Goa,2986.1,3615.8,3482.2,3468.3,3053.0,2716.6,3778.1,3825.2,3018.4,3523.9,2757.7,2081.8,3663.9,3443.4,2671.3,4489.5,4176.0,3947.2
Gujarat,1005.8,1316.3,1478.0,1179.0,911.1,641.5,1088.7,890.3,713.9,1118.4,705.7,623.0,764.7,1024.4,485.3,1067.8,1091.7,793.2
Haryana,487.2,519.4,331.0,446.6,710.3,395.3,640.4,512.1,391.3,461.3,305.5,435.5,398.7,421.7,478.4,351.8,376.1,679.8
Himachal Pradesh,878.3,1248.5,1218.4,1034.4,1114.3,956.5,1259.4,1108.2,951.7,1212.0,1008.9,1210.5,921.5,1182.2,1182.1,1217.7,565.5,1037.6
Jammu & Kashmir,944.8,1692.6,1519.9,1023.6,1224.5,1104.389322,997.8,887.6,1034.7,859.3,1093.5,1572.9,902.9,1279.1,1040.6,1324.1,376.2,894.7
Jharkhand,1136.8,960.5,1459.3,1437.3,1325.4,996.3,697.1,1374.6,1064.9,1253.5,1156.6,1081.8,1264.1,1165.7,960.0,1137.8,899.2,1444.8
Karnataka,1615.1,1865.933333,1839.433333,1976.033333,1686.466667,1977.933333,1926.533333,1883.666667,1532.979257,2021.166667,1875.1,1590.1,1310.7,1583.0,1076.7,1422.3,1064.8,1450.9
Kerala,2886.0,3031.2,3420.6,3489.6,2524.7,2810.7,3131.9,3035.3,2151.2,3255.5,3046.6,2600.7,1870.8,2664.8,3518.9,3119.2,2227.9,3606.3
Madhya Pradesh,901.65,1059.35,1056.25,730.1,897.15,910.45,868.4,1169.55,1044.2,1459.05,894.9,990.7,1219.0,804.5,897.2,1446.7,997.3,1092.7
Maharashtra,1029.5,1221.4,1395.6,1040.4,916.8,941.9,1027.6,852.5,690.0,962.5,838.0,644.5,906.2,994.3,1000.8,1555.8,1165.0,1410.7
Manipur,2353.7,1836.7,1872.2,2538.3,1748.9,1737.7,2295.2,1892.2,1923.0,1557.1,1599.9,1922.2,1956.4,2805.3,1580.2,928.6,744.8,913.6
Meghalaya,2994.2,2468.2,1898.7,2752.7,2339.6,2068.2,2711.4,1743.5,2609.4,1816.5,2206.2,2471.0,2266.7,2711.6,2540.0,3844.4,3982.9,3171.9
Mizoram,2353.7,1836.7,1872.2,2538.3,1748.9,1737.7,2295.2,1892.2,1923.0,1557.1,1599.9,1922.2,1956.4,2805.3,2552.6,2178.5,1092.3,1653.1
Nagaland,2353.7,1836.7,1872.2,2538.3,1748.9,1737.7,2295.2,1892.2,1923.0,1557.1,1599.9,1922.2,1956.4,1805.3,1581.3,1593.0,845.1,1153.1
Odisha,1290.4,1503.4,1716.9,1633.8,1539.0,1330.3,1292.2,1346.3,1405.9,1632.3,1537.0,1210.0,1253.5,1344.4,1630.0,1593.9,1140.9,1420.8
Puducherry,1037.6,1365.4,927.8,1067.1,1203.4,928.5,1095.3,926.7,636.2,742.0,913.0,1204.6,535.2,973.0,1142.1,1317.0,1042.1,2275.5
Punjab,351.8,552.0,647.7,594.8,717.2,361.1,451.5,705.1,493.5,586.6,382.9,510.8,444.1,497.5,629.0,653.2,391.7,534.4
Rajasthan,401.5,414.2,554.9,443.15,484.3,287.35,581.4,610.35,510.45,612.75,492.85,554.6,603.8,504.3,400.9,665.1,446.4,587.0
Sikkim,2714.8,2807.7,2262.1,2638.7,2689.8,2324.7,2612.5,2418.8,2632.3,2406.1,2322.5,2518.5,2624.8,2684.8,3105.2,2740.0,2571.9,3043.3
Tamil Nadu,1037.6,1365.4,927.8,1067.1,1203.4,928.5,1095.3,926.7,636.2,742.0,913.0,1204.6,535.2,973.0,801.0,910.1,937.3,1376.7
Telangana,667.1,1163.0,1052.9,843.3,1035.3,666.2,1276.5,753.1,1008.6,1348.7,746.4,857.2,1043.4,815.7,846.0,1031.7,1095.4,1208.5
Tripura,2353.7,1836.7,1872.2,2538.3,1748.9,1737.7,2295.2,1892.2,1923.0,1557.1,1599.9,1922.2,1956.4,2805.3,2191.4,1031.7,1292.9,1761.1
Uttar Pradesh,694.65,747.85,580.65,656.9,876.45,579.6,756.35,779.25,496.15,986.95,594.0,593.05,782.3,640.1,805.4,814.5,651.9,946.1
Uttarakhand,1219.6,1348.2,1178.9,1924.4,1363.6,847.6,1424.0,1564.6,1223.9,1735.3,1287.5,1247.6,1308.6,1475.8,1392.2,1378.9,943.2,1664.5
West Bengal,1569.4,1604.8,1660.4,1941.5,1555.4,1314.9,1064.9,1686.4,1268.0,1764.0,1261.3,1530.2,1427.0,1568.7,1444.1,1733.4,1463.5,2202.7
,,,,,,,,,,,,,,,,,,
